,model,previous,current
0,B,5,4
1,H,5,3
2,T,5,6
3,R,6,3
4,P,1,3
5,B,4,5
6,B,6,0
7,R,4,0
8,B,5,1
9,D,5,2
10,A,5,5
11,O,0,3
12,S,0,0
13,F,1,6
14,S,4,4
15,D,4,5
16,G,3,2
17,T,6,2
18,A,4,3
19,U,0,6
20,Q,1,5
21,G,2,4
22,O,3,5
23,U,2,6
24,Z,3,5
25,B,5,5
26,I,3,0
27,M,0,5
28,Y,3,1
29,J,0,6
30,R,2,6
31,W,4,2
32,W,4,5
33,K,1,0
34,B,2,4
35,F,2,1
36,R,5,3
37,I,2,0
38,F,6,4
39,Q,5,3
40,V,0,0
41,X,2,0
42,P,3,3
43,F,0,0
44,N,5,5
45,R,1,0
46,M,5,0
47,F,1,1
48,O,0,5
49,C,5,4
50,K,4,5
51,E,2,2
52,K,0,3
53,U,1,0
54,T,0,3
55,K,6,2
56,E,1,5
57,K,0,4
58,C,6,1
59,K,2,1
60,B,6,6
61,X,5,0
62,K,2,2
63,W,0,2
64,R,3,3
65,F,6,2
66,F,3,4
67,S,5,6
68,A,4,1
69,H,6,6
70,H,4,6
71,N,1,1
72,H,3,5
73,J,2,1
74,T,0,0
75,D,4,2
76,O,2,4
77,N,0,3
78,M,6,0
79,E,4,3
80,W,1,4
81,B,5,4
82,S,3,0
83,W,4,6
84,Z,2,0
85,V,4,0
86,Z,1,1
87,N,4,4
88,K,6,3
89,X,5,4
90,D,5,0
91,C,0,1
92,D,0,5
93,D,6,1
94,M,3,0
95,F,4,0
96,J,1,4
97,A,2,0
98,A,2,6
99,M,5,0
100,N,0,3
101,Y,3,6
102,M,4,6
103,X,6,2
104,T,3,5
105,G,1,6
106,U,5,6
107,J,4,0
108,Z,3,2
109,F,0,6
110,X,1,3
111,O,6,4
112,H,0,2
113,L,0,4
114,J,1,0
115,N,3,6
116,R,5,0
117,A,2,5
118,J,2,3
119,G,4,2
120,C,5,6
121,Z,5,2
122,B,4,5
123,Y,6,4
124,Y,1,2
125,T,2,1
126,E,1,5
127,V,6,2
128,H,3,2
129,U,1,5
130,T,6,0
131,H,0,1
132,A,4,3
133,F,6,1
134,I,1,1
135,W,1,2
136,S,2,4
137,R,6,1
138,V,4,4
139,M,6,5
140,O,5,4
141,S,2,6
142,E,3,1
143,U,4,2
144,Z,4,4
145,F,1,3
146,M,1,6
147,L,3,4
148,D,6,0
149,W,6,1
150,A,5,0
151,G,6,3
152,P,4,6
153,M,2,2
154,E,2,2
155,W,0,1
156,B,6,1
157,J,1,6
158,Y,0,3
159,F,6,4
160,W,6,4
161,B,3,6
162,K,2,6
163,K,6,0
164,G,2,3
165,X,5,3
166,B,5,5
167,Z,4,1
168,S,2,1
169,V,3,5
170,D,1,4
171,W,4,5
172,D,4,1
173,Q,1,2
174,J,1,4
175,I,2,4
176,Q,6,3
177,P,3,5
178,H,0,1
179,X,3,3
180,L,6,6
181,O,0,3
182,T,4,4
183,E,2,4
184,Z,3,6
185,C,5,4
186,Q,2,5
187,O,0,1
188,B,3,2
189,P,3,4
190,B,3,5
191,E,1,3
192,B,1,1
193,F,4,6
194,G,1,5
195,W,3,6
196,T,5,5
197,J,3,1
198,Y,5,2
199,P,3,0
200,U,1,4
201,N,6,2
202,K,2,1
203,Y,3,0
204,V,4,1
205,A,0,0
206,O,5,0
207,Q,3,0
208,U,2,0
209,R,3,2
210,L,5,3
211,U,6,1
212,T,1,0
213,K,4,0
214,I,0,4
215,E,4,3
216,T,2,0
217,C,4,4
218,R,1,1
219,L,2,1
220,W,3,3
221,T,0,0
222,R,3,1
223,M,4,3
224,E,4,3
225,J,2,3
226,A,0,0
227,J,1,3
228,U,0,3
229,Y,1,2
230,H,6,5
231,I,2,0
232,V,4,1
233,P,5,1
234,E,0,0
235,W,3,4
236,M,4,3
237,N,4,2
238,Z,5,0
239,V,6,3
240,H,1,2
241,Y,0,2
242,M,2,0
243,R,0,0
244,Z,6,3
245,I,2,4
246,C,6,1
247,G,2,0
248,R,2,3
249,F,2,0
250,I,5,2
251,J,4,1
252,Y,0,1
253,X,6,0
254,V,4,2
255,J,4,1
256,C,3,5
257,H,0,2
258,V,6,2
259,O,0,0
260,K,6,6
261,Z,5,4
262,T,3,6
263,S,1,1
264,H,5,6
265,U,1,4
266,F,6,5
267,B,4,3
268,L,3,3
269,M,3,2
270,L,5,2
271,E,6,4
272,V,5,5
273,S,6,6
274,U,5,4
275,K,4,0
276,I,6,2
277,Z,4,2
278,I,5,0
279,F,3,4
280,B,3,1
281,K,4,4
282,O,3,2
283,T,5,0
284,E,1,2
285,O,4,3
286,P,5,0
287,J,3,4
288,Y,0,0
289,K,3,4
290,F,0,5
291,Q,0,0
292,W,5,5
293,C,5,5
294,R,2,3
295,R,5,3
296,M,5,6
297,S,6,5
298,O,3,1
299,K,4,5
300,K,2,1
301,S,4,6
302,I,3,5
303,P,0,3
304,Y,6,2
305,G,3,5
306,K,6,2
307,F,4,5
308,P,4,1
309,K,4,2
310,Q,3,5
311,A,1,3
312,C,4,6
313,C,1,2
314,N,6,6
315,F,6,1
316,V,6,6
317,F,2,4
318,H,6,3
319,N,2,0
320,F,4,2
321,X,4,3
322,A,0,3
323,P,0,6
324,R,3,0
325,P,1,3
326,U,1,4
327,C,3,4
328,I,6,0
329,R,2,2
330,F,4,6
331,E,1,0
332,D,3,0
333,A,4,4
334,B,4,3
335,C,4,4
336,Z,3,3
337,Z,0,5
338,X,2,5
339,Q,0,2
340,P,6,3
341,U,2,2
342,T,0,4
343,V,2,3
344,J,6,2
345,E,4,3
346,Y,0,5
347,X,3,4
348,L,3,6
349,A,3,0
350,O,5,4
351,K,6,3
352,N,4,0
353,B,0,5
354,J,0,2
355,L,0,5
356,O,5,2
357,I,5,5
358,C,1,1
359,I,2,0
360,G,5,0
361,F,6,5
362,H,2,5
363,D,2,4
364,E,3,6
365,T,4,5
366,Q,6,5
367,D,5,4
368,U,5,0
369,A,5,4
370,I,5,3
371,W,1,3
372,Z,1,4
373,C,3,0
374,Z,5,6
375,G,4,4
376,N,3,5
377,G,3,5
378,N,0,5
379,P,3,2
380,R,6,0
381,F,2,3
382,E,3,0
383,V,3,6
384,Q,3,6
385,W,3,5
386,V,4,5
387,J,2,6
388,M,5,3
389,N,5,2
390,C,1,4
391,E,0,2
392,P,2,6
393,Z,4,4
394,J,0,1
395,H,2,3
396,E,1,3
397,O,3,3
398,N,0,0
399,N,4,4
400,B,0,2
401,E,0,4
402,G,2,3
403,T,1,6
404,A,5,6
405,R,0,0
406,L,6,0
407,R,2,3
408,H,3,4
409,E,0,3
410,B,1,3
411,K,4,5
412,O,3,0
413,Z,0,1
414,Q,1,4
415,M,6,2
416,Y,3,2
417,F,2,0
418,I,0,3
419,J,4,5
420,Z,0,5
421,A,4,5
422,X,4,5
423,O,5,4
424,X,2,3
425,X,5,6
426,E,5,1
427,K,5,4
428,T,2,4
429,O,5,5
430,X,4,3
431,U,5,3
432,N,0,0
433,N,0,5
434,P,6,3
435,R,1,5
436,M,3,3
437,T,2,1
438,I,3,5
439,K,4,3
440,W,3,3
441,W,6,6
442,C,4,6
443,A,2,6
444,S,3,1
445,C,3,5
446,P,5,5
447,V,4,4
448,Z,5,0
449,J,5,4
450,J,1,0
451,L,5,3
452,J,0,4
453,E,2,5
454,C,6,4
455,H,0,3
456,N,1,6
457,E,5,6
458,F,4,3
459,K,3,1
460,J,0,1
461,R,5,0
462,H,4,6
463,F,2,6
464,J,2,3
465,N,4,4
466,C,5,4
467,Q,5,1
468,Z,5,5
469,U,3,2
470,E,6,6
471,F,1,1
472,G,1,4
473,P,0,5
474,E,1,3
475,I,6,6
476,M,5,4
477,F,1,1
478,F,2,0
479,N,4,3
480,R,6,5
481,K,4,3
482,M,4,5
483,G,1,6
484,G,4,0
485,L,3,5
486,G,4,0
487,H,0,6
488,K,1,2
489,Q,5,2
490,J,1,5
491,Q,6,0
492,S,1,5
493,G,3,0
494,E,5,5
495,G,6,5
496,T,5,1
497,M,4,6
498,K,6,6
499,J,4,3
500,Y,2,1
501,M,5,4
502,J,3,0
503,P,1,2
504,Y,3,0
505,U,3,4
506,H,1,0
507,Z,1,4
508,G,2,5
509,F,2,6
510,L,3,3
511,X,5,0
512,P,4,3
513,Z,6,6
514,D,6,5
515,X,5,3
516,S,5,2
517,G,6,4
518,N,5,5
519,N,2,6
520,A,2,6
521,L,5,6
522,K,0,0
523,W,5,2
524,A,1,2
525,P,3,1
526,I,4,0
527,A,3,1
528,E,1,3
529,A,5,4
530,N,2,6
531,D,0,1
532,Y,4,6
533,I,1,1
534,D,5,1
535,E,1,2
536,K,1,4
537,A,0,2
538,A,3,5
539,I,5,2
540,T,0,1
541,O,6,3
542,G,2,5
543,F,4,4
544,B,6,4
545,Y,3,2
546,C,3,0
547,X,5,0
548,R,3,3
549,B,5,6
550,U,4,0
551,Q,4,2
552,O,0,2
553,A,2,6
554,O,4,2
555,G,4,4
556,N,2,3
557,P,5,4
558,M,6,4
559,R,5,3
560,V,1,1
561,D,6,1
562,O,4,5
563,S,1,2
564,H,3,1
565,O,1,4
566,H,1,2
567,R,0,5
568,O,5,3
569,B,3,2
570,R,0,5
571,C,2,6
572,J,2,0
573,D,1,2
574,Z,6,0
575,O,6,3
576,W,5,2
577,K,0,3
578,Z,2,4
579,U,6,3
580,I,5,6
581,M,3,5
582,M,5,2
583,O,2,3
584,V,2,2
585,B,2,6
586,Y,0,6
587,I,3,4
588,R,3,1
589,M,0,6
590,F,4,2
591,C,4,1
592,Q,0,4
593,X,4,2
594,Q,2,4
595,L,4,3
596,Q,3,2
597,Y,0,5
598,K,0,1
599,J,5,2
600,A,4,6
601,N,0,6
602,W,3,4
603,B,4,1
604,M,3,3
605,B,0,1
606,C,0,5
607,G,1,4
608,U,6,6
609,G,2,6
610,L,5,3
611,P,5,3
612,V,4,3
613,A,2,0
614,H,4,6
615,U,2,2
616,P,6,5
617,G,3,6
618,D,4,5
619,M,4,1
620,O,4,6
621,D,5,1
622,N,0,5
623,R,4,5
624,D,6,6
625,M,4,1
626,L,2,3
627,M,1,2
628,V,1,4
629,O,4,6
630,W,4,2
631,M,6,2
632,D,0,0
633,C,1,2
634,N,4,2
635,F,1,4
636,Z,6,0
637,O,2,1
638,G,2,3
639,C,5,3
640,C,0,1
641,Y,1,2
642,J,1,2
643,G,3,6
644,S,6,1
645,I,1,5
646,W,0,1
647,Q,5,1
648,A,3,0
649,U,4,4
650,P,1,1
651,H,0,5
652,V,2,3
653,U,1,2
654,K,1,5
655,X,1,2
656,I,6,1
657,B,2,5
658,R,2,6
659,W,6,4
660,T,0,1
661,V,3,0
662,Y,0,5
663,N,0,6
664,B,5,4
665,M,5,5
666,G,4,2
667,A,3,5
668,N,3,1
669,S,5,4
670,U,0,4
671,Z,1,5
672,T,1,3
673,M,3,1
674,W,6,0
675,W,0,1
676,R,5,6
677,J,6,1
678,U,2,4
679,Q,1,2
680,V,3,1
681,N,0,1
682,B,0,2
683,O,4,4
684,C,6,0
685,X,1,3
686,X,4,3
687,M,1,6
688,D,4,6
689,J,4,1
690,R,2,0
691,K,6,0
692,W,6,2
693,H,5,6
694,S,0,3
695,T,0,1
696,O,6,0
697,M,1,0
698,M,0,1
699,L,6,6
700,O,1,1
701,A,6,6
702,F,5,1
703,W,2,1
704,O,1,6
705,K,6,0
706,U,5,2
707,K,5,0
708,E,1,0
709,O,6,6
710,T,3,4
711,B,3,1
712,G,5,3
713,C,0,5
714,S,1,5
715,A,6,1
716,N,1,0
717,C,1,6
718,Z,0,2
719,N,4,4
720,F,0,3
721,Y,6,5
722,P,6,1
723,G,0,1
724,Y,3,0
725,S,3,3
726,X,3,1
727,I,3,4
728,X,4,4
729,E,5,5
730,T,1,6
731,U,1,3
732,L,2,1
733,P,0,5
734,J,5,2
735,O,2,2
736,K,3,2
737,Z,1,5
738,K,3,1
739,E,3,2
740,N,2,2
741,A,3,6
742,Y,6,5
743,C,3,5
744,D,6,1
745,D,1,4
746,C,1,4
747,D,5,2
748,L,2,1
749,A,2,2
750,O,2,3
751,G,6,2
752,V,6,2
753,V,3,3
754,F,0,0
755,V,2,0
756,N,4,6
757,K,6,4
758,V,4,2
759,Y,3,0
760,A,0,5
761,B,6,3
762,R,3,3
763,I,6,2
764,L,5,1
765,I,5,1
766,R,3,5
767,I,4,2
768,J,0,0
769,B,2,3
770,X,6,5
771,A,6,4
772,I,4,5
773,M,5,5
774,S,3,2
775,R,6,1
776,C,4,1
777,I,2,6
778,M,4,2
779,F,5,4
780,M,3,2
781,W,4,5
782,T,0,4
783,F,3,3
784,G,3,2
785,E,3,1
786,M,1,0
787,G,3,2
788,W,4,5
789,Q,3,1
790,T,4,4
791,V,1,5
792,G,5,2
793,G,3,2
794,P,1,5
795,R,3,4
796,V,0,6
797,Z,5,0
798,Z,2,0
799,M,1,4
800,K,3,3
801,X,6,0
802,M,2,2
803,N,5,0
804,Y,4,6
805,V,3,5
806,O,2,1
807,P,1,2
808,U,6,4
809,H,3,5
810,I,5,4
811,U,0,1
812,G,3,1
813,V,2,4
814,V,6,2
815,X,6,4
816,O,6,3
817,K,3,5
818,K,2,4
819,R,3,1
820,T,2,1
821,X,4,4
822,E,0,1
823,M,3,1
824,Z,3,4
825,Z,2,2
826,S,6,3
827,F,2,2
828,X,0,5
829,O,0,3
830,X,1,0
831,N,6,3
832,T,2,4
833,Y,5,3
834,T,0,1
835,R,4,5
836,K,4,1
837,C,5,1
838,X,4,1
839,A,4,0
840,Y,1,5
841,Q,6,5
842,O,4,1
843,A,1,0
844,D,4,1
845,B,4,3
846,L,3,0
847,C,5,1
848,O,6,6
849,N,2,5
850,C,3,0
851,C,6,5
852,G,2,4
853,W,0,0
854,P,6,1
855,V,3,6
856,O,6,2
857,G,1,6
858,F,2,0
859,Q,6,5
860,L,6,3
861,H,1,4
862,O,2,1
863,D,5,3
864,T,5,4
865,L,1,5
866,V,5,5
867,N,4,3
868,U,6,2
869,O,3,6
870,B,6,6
871,K,1,6
872,V,3,0
873,K,2,5
874,M,5,6
875,I,4,0
876,M,0,2
877,T,5,0
878,K,6,4
879,P,0,1
880,Q,6,3
881,D,4,5
882,V,1,3
883,O,4,5
884,P,4,2
885,W,1,2
886,G,1,4
887,G,1,4
888,L,5,2
889,C,2,6
890,A,1,3
891,L,2,5
892,Q,4,2
893,J,1,4
894,U,5,1
895,T,5,3
896,L,6,0
897,T,5,6
898,J,6,0
899,B,1,5
900,O,2,5
901,A,5,2
902,L,6,2
903,F,3,1
904,C,4,3
905,H,4,1
906,Z,5,0
907,J,2,5
908,R,6,5
909,U,3,4
910,Q,5,0
911,Q,0,2
912,T,3,1
913,N,2,4
914,H,5,4
915,K,4,0
916,A,4,1
917,C,1,2
918,Z,1,6
919,T,5,0
920,N,1,6
921,E,4,5
922,U,6,4
923,X,5,4
924,Z,2,3
925,H,6,3
926,I,4,4
927,M,0,2
928,K,1,6
929,N,5,3
930,A,4,1
931,U,4,4
932,G,2,5
933,K,3,6
934,P,5,5
935,X,4,3
936,A,1,4
937,H,5,0
938,J,6,2
939,P,2,5
940,H,6,3
941,F,3,4
942,E,3,0
943,M,3,5
944,J,6,3
945,Q,0,4
946,T,6,3
947,K,5,4
948,D,3,3
949,T,5,4
950,V,6,0
951,V,4,2
952,U,2,2
953,E,6,6
954,U,6,6
955,D,6,1
956,B,5,2
957,M,0,4
958,T,0,1
959,L,1,3
960,J,4,2
961,P,2,5
962,N,5,4
963,U,1,5
964,U,4,1
965,I,4,3
966,O,1,4
967,T,5,1
968,M,2,6
969,W,0,1
970,V,6,2
971,O,6,5
972,K,1,5
973,U,1,3
974,U,5,1
975,O,6,5
976,O,0,0
977,G,1,5
978,L,2,4
979,M,2,4
980,M,6,5
981,V,2,3
982,A,5,6
983,Y,5,0
984,Q,4,0
985,Z,6,5
986,H,1,2
987,L,4,1
988,Y,4,5
989,L,0,6
990,L,4,0
991,N,0,0
992,Z,1,2
993,H,6,0
994,A,5,3
995,T,1,5
996,K,6,0
997,B,2,0
998,L,0,1
999,T,6,4
